NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
531,Cancer,Melanom malign,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
532,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,G,Radiografie toracică,Indicat,B,Cancerul pulmonar ocult este frecvent. O radiografie fără modificări nu exclude un cancer pulmonar.,,1,1,Nu
533,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,E,Ecografie,Doar în cazuri particulare,B,Dacă se suspectează cancer tiroidian sau testicular,,0,0,Nu
534,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,G,Mamografia,Doar în cazuri particulare,B,Detectarea cancerelor mamare oculte,,1,1,Nu
535,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,M,IRM mamar / whole body,Doar în cazuri particulare,B,Detectarea cancerului mamar cu metastaze axilare în pofida mamografiei și ecografiei normale; cancere din zona cranio-cervicală,,0,0,Nu
536,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,T,"CT torace, abdomen și pelvis",Doar în cazuri particulare,B,Modalitatea inițială de evaluare cea mai accesibilă; ajută la ghidarea biopsiei.,,3,3,Nu
537,Cancer,Metastaze cu tumoră primară necunoscută,Diagnostic,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,"Screening-ul unei tumori primare necunoscute, atunci când boală metastatică este descoperită ca primă manifestare a cancerului sau când pacientul prezintă sindrom paraneoplazic; util în special în cancerele din zona cranio-cervicală și a toracelui.",,4,4,Nu
538,Cancer,Metastaze cu tumoră primară necunoscută,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
539,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț de extensie,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,"Util în stadializare, raspuns la tratament și detectarea recidivelor. Ghidarea planului de radioterapie. Stabilirea locului de biopsie",,4,4,Nu
540,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț de extensie,T,CT,Doar cu aviz specializat,B,CT toracic pentru diagnosticul metastazelor pulmonare.,,2,3,Nu
541,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț de extensie,N,PET-CT (F18-FDG),Indicat,B,"Bilanț de extensie ganglionară, părți moi, os în cazul sarcoamelor osoase. Indicat în caz de sarcom Ewing. Ghidarea planului de radioterapie",,4,4,Nu
542,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț de extensie,T,CT,Indicat,B,CT toracic pentru diagnosticul metastazelor pulmonare.,,2,3,Nu
543,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț de extensie,N,"Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB și
SPECT-CT",Doar în cazuri particulare,B,Depistarea metastazelor osoase la distant cu punct de plecare osteosarcom. Recomandata pentru bilanțul unui sarcom Ewing.,,2,2,Nu
544,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț diagnostic,E,Ecografie,Indicat,B,"Confirmă diagnosticul, determină natura solidă sau lichidă a leziunii , localizarea anatomică și studierea vascularizației. În caz de incertitudine se recomandă IRM.",,0,0,Nu
545,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț diagnostic,G,Radiografie,Indicat,B,Evidențiaza calcificarile și afectarea osoasă.,,1,2,Nu
546,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț diagnostic,M,IRM,Indicat,B,"Examinare de referință, indicată în toate cazurile. Apreciază cel mai bine extensia locală.",,0,0,Nu
547,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală de părți moi – bilanț diagnostic,T,CT,Doar cu aviz specializat,B,Caracterizare a calcificarilor și în caz de afectare osoasă.,,2,3,Nu
548,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț diagnostic,G,Radiografie,Indicat,B,"Indispensabilă în diagnosticul tumorilor osoase. Evidentiază matricea tumorală, osteogeneza și caracterele osteolizei.",,1,2,Nu
549,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț diagnostic,M,IRM,Indicat,B,"Indicat în caz de suspiciune de malignitate, inaintea biopsiei osoase. Excelent în bilanțul extensiei locale.",,0,0,Nu
550,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț diagnostic,T,CT,Indicat,B,"Evidentiază matricea tumorală, osteogeneza și caracterele osteolizei - mai sensibil decât radiografia.",,2,3,Nu
551,Cancer,Tumori ale aparatului locomotor,Formațiune tumorală osoasă primitivă – bilanț diagnostic,E,Ecografie,Doar în cazuri particulare,C,Indicații restranse.,,0,0,Nu
552,Cancer,Tumori ale aparatului locomotor,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
553,Cancer,Tumori cerebrale și medulare,Diagnostic,M,IRM cerebral / medular,Indicat,B,"IRM-ul este indicat pentru diagnostic, clasificare și aspectul diferitelor procese expansive intracraniene, în alegerea strategiei terapeutice și supravegherea postterapeutică (utilizând difuzie, perfuzie, spectroRM). CT poate omite tumori mici cu informații suboptimale în fosă posterioară și la nivel medular; contrast necesar totdeauna pentru diagnosticul metastazelor.",,0,0,Nu
554,Cancer,Tumori cerebrale și medulare,Diagnostic,T,CT cerebral,Doar în cazuri particulare,A,"În cazul contraindicației de examen IRM, sau complementar IRM pentru aprecierea structurilor osoase adiacente, pentru tumori cu punct de plecare meningeal, detectarea de calcifieri intratumorale.",,2,2,Nu
555,Cancer,Tumori cerebrale și medulare,Diagnostic,N,Scintigrafie cerebrală,Doar cu aviz specializat,B,"Tomoscintigrafia cerebrală cu utilizarea de trasori tumorali, indicatori ai viabilității celulare, ca thaliul sau MIBI poate fi utilă pentru diagnosticul diferențial recidivă/radionecroză sau pentru aprecierea răspunsului precoce la chimioterapie.",,4,4,Nu
556,Cancer,Tumori cerebrale și medulare,"Stadializare, planificare operatorie",M,IRM funcțional,Doar cu aviz specializat,C,IRM funcțional poate fi util în planificare preoperatorie.,,0,0,Nu
557,Cancer,Tumori cerebrale și medulare,"Stadializare, planificare operatorie",M,IRM cerebral și AngioRM / IRM medular,Doar în cazuri particulare,C,IRM cerebral cu AngioRM - indicat la tumori vasculare sau bine vascularizate.,,0,0,Nu
558,Cancer,Tumori cerebrale și medulare,"Stadializare, planificare operatorie",T,AngioCT,Doar în cazuri particulare,C,Angio CT indicat la tumori vasculare sau bine vascularizate.,,2,2,Nu
559,Cancer,Tumori cerebrale și medulare,Monitorizare,N,"PET-CT (F18-FDG), C11-metionina",Doar cu aviz specializat,B,Poate fi utilă în diferențierea recurenței tumorale de necroza radică; captare crescută a FDG față de cortex în tumorile de grad înalt și intermediar; la tumorile de grad mic 11C metionina poate fi utilă pentru a defini extinderea tumorii.,,4,4,Nu
560,Cancer,Tumori cerebrale și medulare,Monitorizare,M,IRM cerebral / medular,Indicat,B,"Pre - și postcontrast; IRM preferabil; secvețele de spectroscopie și perfuzie pot fi utile; urmărirea se realizează cu același protocol și dacă este posibil pe același aparat. Frecvența urmăririi depinde de tipul histologic, localizare, tratament și protocoalele oncologice.",,0,0,Nu
561,Cancer,Tumori cerebrale și medulare,Monitorizare,T,CT cerebral,Indicat,B,"CT de considerat ca alternativă; în funcție de tipul tumorii, mai ales la tumorile de fosă posterioară pediatrice, este necesară reconstrucția sagitală a coloanei.",,2,2,Nu
562,Cancer,Tumori cerebrale și medulare,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
563,Cancer,Tumori maligne primare hepatice,Diagnostic,E,Ecografie abdominală și eco Doppler,Indicat,A,"Ecografia (ultrasonografia-US) hepatică și evaluarea eco Doppler au un rol important în depistarea carcinomului hepatocelular, în caracterizarea unui nodul hepatic și în evaluarea sistemului port, a venelor hepatice, VCI și a arterei hepatice. În cazurile în care examinarea eco este negativă (US-1) adică nu se individualizează leziuni hepatice suspecte, monitorizarea se va face la 6 luni. Dacă leziunea este cu dimensiuni sub 10 mm și/sau aspectul nodulului hepatic nu prezintă caractere tipice de benignitate (US-2) evaluarea ecografică se repetă la 3-6 luni. Pentru leziunile cu dimensiuni egale sau mai mari de 10 mm cu caractere incerte de benignitate sau care asociază tromboza venoasa nou apărută (US-3), se recomandă în completare evaluare ecografică multifazică cu contrast inj.i.v, sau evaluare IRM multifazică cu contrast inj.i.v. sau evaluare CT multifazică cu contrast inj.i.v.","Atenție la aspectul ecografic global al parenchimului hepatic. Aspect omogen (scor US-A: fără limitări); aspect parțial heterogen ce poate duce la mascarea unor leziuni hepatice de mici dimensiuni și la imposibilitatea analizei unor arii din parenchimul hepatic sau diafragm (scor US-B: limitări moderate); aspect intens heterogen, peste 50% din ficat nonvizualizabil sau peste 50% din diafragm non-vizualizabil (scor US-C: limitări majore)",0,0,Nu
564,Cancer,Tumori maligne primare hepatice,Diagnostic,M,"IRM abdominal cu contrast, de preferat contrast specific celular",Indicat,A,"Examen de referință, cu indicație de elecție în caracterizarea unui nodul hepatic nou apărut într-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere. IRM reprezintă cea mai performantă metodă de diagnostic imagistic neinvaziv în caracterizarea nodulilor din ficatul cirotic.","Aparat IRM de 1.5 sau 3 T; antena în rețea fazată. IRM multiparametrică are rol în caracterizare, detecția altor leziuni, în evaluarea pre-/ și postterapeutică a nodulului/nodulilor tumorali (postchirurgicală, post proceduri de radiologie intervențională, post tratament oncologic). IRM permite cuantificarea patologiilor de depozit, a gradului de fibroza hepatică și obținerea de date funcționale atunci când se utilizează contrastul specific hepatocitar. În cazurile în care examinarea IRM este neconcludentă (pacient necooperant), se indică examinare CT cu contrast inj. i.v.",0,0,Nu
565,Cancer,Tumori maligne primare hepatice,Diagnostic,T,CT abdominal cu contrast,Indicat,B,"CT este indicată în cazurile în care examinarea IRM este neconcludentă, contraindicată, sau nerealizabilă datorită condiției clinice alterate a pacientului, pentru caracterizarea unui nodul hepatic nou apărut într-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere. Obligatoriu se realizează un pasaj CT fără contrast urmat de o examinarea CT multislice dinamică cu contrast în faze multiple (timp arterial tardiv, portal și faza tardivă) cu reconstrucții multiplanare în plan coronal și /sau coronal oblic. CT permite monitorizarea răspunsului posterapeutic (postchirurgical, postproceduri de radiologie intervențională, posttratament oncologic)","CT multislice fără și cu contrast inj.i.v. : depistarea, confirmarea și caracterizarea unui nodul/unor noduli suspect (i) ecografic; bilanțul hipertensiunii portale. Detecția trombozei de venă portă și a variantelor anatomice din circulația arterială, portală și a venelor hepatice. Detecția sângerării intratumorale sau a hemoperitoneului. Detecția altor leziuni descoperite incidental în etajul abdominal.",3,4,Nu
566,Cancer,Tumori maligne primare hepatice,Diagnostic,E,Ecografie hepatică cu contrast,Doar în cazuri particulare,B,"Utilă atunci când evaluarea IRM este neconcludentă sau contraindicată, în caracterizarea unui nodul hepatic nou apărut într-un ficat cirotic descoperit printr-o evaluare ecografică de supraveghere",,0,0,Nu
567,Cancer,Tumori maligne primare hepatice,Diagnostic,N,PET-CT (F18-cholina),Doar cu aviz specializat,B,"PET-CT cu cholina este indicată în caracterizarea unui nodul hepatic tip carcinom hepatocelular bine diferențiat. PET-CT cu F18-FDG este utilă pentru evaluarea determinărilor secundare sau a unui neoplasm de căi biliare la subiecții cu risc crescut, de exemplu într-un context de colangita sclerozantă.",,3,4,Nu
568,Cancer,Tumori maligne primare hepatice,Stadializare,M,IRM abdominal cu contrast,Indicat,B,"IRM reprezintă metodă optimă de diagnostic și stadializare (T) a unei tumori hepatice (de ex.carcinom hepatocelular -CHC) în vederea unui management corect: tratament chirurgical vs nonchirurgical (intervențional radio-imagistic, oncologic). Utilizarea produșilor de contrast paramagnetici cu specificitate celulară (cu realizarea achiziției 3D T1 dinamice multifazice și a fazei hepato-biliare) îmbunătățește performanțele diagnostice ale evaluării IRM, mai ales în cazurile în care nodulul se dezvoltă într-un ficat cu o patologie de depozit sau în cadrul unei hepatopatii cronice. Reprezintă examenul cel mai performant în detectarea de noduli tumorali suplimentari. Permite evaluarea structurilor vasculare intra-/extrahepatice, a arborelui biliar și diferențierea între un tromb tumoral și unul cruoric. Este metodă de referință pentru aprecierea răspunsului terapeutic în nodulii tumorali tratați prin proceduri de radiologie intervențională (evidențierea țesutului tumoral viabil)",,0,0,Nu
569,Cancer,Tumori maligne primare hepatice,Stadializare,T,CT abdominal cu contrast injectat iv,Indicat,B,"CT permite evaluarea extensiei tumorale (stadializarea T, N și M a CHC) și este indicată, inclusiv la pacienții supraponderali, cu stare clinică alterată sau la pacienții necooperanți; achiziția trebuie să fie multifazică (arterio-portală, timp portal și tardiv); CT permite evaluarea metastazelor (M) la distanță (osoase, pulmonare, cerebrale, etc) și aprecierea adenopatiilor dimensional patologice în zonele explorate. Permite evaluarea structurilor vasculare intra-/extrahepatice și diferențierea între un tromb tumoral și unul cruoric. Reprezintă examenul de elecție în aprecierea variantelor arteriale din circulația hepatică, portale, vv hepatice și vena cavă inferioară (VCI). Este utilă și în aprecierea răspunsului postterapeutic","Metodă accesibilă, rapidă cu o rezoluție spațială excelentă. Este indicată în diagnosticul și stadializarea CHC, la pacienții cu ciroza hepatică aflați pe lista de transplant hepatic și pentru evaluarea pacienților oncologici care asociază ciroza hepatică. Permite realizarea volumetriei hepatice și a celei tumorale. Este metodă de elecție în evaluarea donatorului hepatic prin detaliile pe care le oferă apropo de vascularizația hepatică, densitometria parenchimului și volumetrie",3,4,Nu
570,Cancer,Tumori maligne primare hepatice,Stadializare,N,PET-CT (F18-FDG),Doar cu aviz specializat,A,"PET-CT cu F18-FDG este indicat în formele prost diferențiate de CHC, pentru evaluarea metastazelor intra-/extrahepatice, aspecte importante în cazurile în care se preconizează transplantul hepatic","Metodă de imagistică hibridă, neinvazivă dar iradiantă",3,4,Nu
571,Cancer,Tumori maligne primare hepatice,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
572,Cancer,Tumori maligne secundare hepatice,Diagnostic,T,CT toraco-abdomino-pelvin,Indicat,B,"CT este util în bilanțul bolii metastatice extrahepatice, în realizarea unei volumetrii hepatice sau a evaluării circulației arteriale și portale intra-/extrahepatice. Examenul CT este superior evaluării ecografice în detecția metastazelor hepatice de mici dimensiuni și la pacienții cu examinare ecografică hepatică normală dar cu suspiciune clinico-biologică de boală metastatică. CT este util și în cazul în care examinarea IRM este contraindicată, imposibil de realizat sau noncontributivă pentru diagnostic. CT este indicat și în monitorizarea răspunsului terapeutic",Permite totodată evaluarea axelor vasculare intra-/extrahepatice și a relației dintre metastaze și structurile vasculare adiacente,3,4,Nu
573,Cancer,Tumori maligne secundare hepatice,Diagnostic,E,Ecografie abdominală,Doar în cazuri particulare,A,"Performantă inferioară evaluării IRM, CT și PET-CT. Poate ajuta în anumite cazuri în luarea deciziei pentru o procedură radio-imagistică intervențională (de ex. ablația prin radiofrecvență)",Ecografia Doppler permite: precizarea rapoartelor vasculare și topografia hepatică sectorială,0,0,Nu
